x,y,z,vll_gwc,vll_gsc,fll_gsc,nn_gsc,nn_gwc,m
18752,6105,32152,1,1,1,1,1,47
19794,5815,32347,1,1,1,1,1,21
20856,3811,32787,1,1,1,1,1,2
21308,3336,32772,1,1,1,1,1,6
20385,4273,32907,1,1,1,1,1,16
24834,4508,31428,1,1,1,1,1,15
22258,2529,31909,1,1,1,1,1,6
22082,2285,32198,1,1,1,1,1,72
22025,2229,32104,1,1,1,1,1,43
22062,1880,32264,1,1,1,1,1,27
22556,2420,32199,1,1,1,1,1,9
21807,2177,32118,1,1,1,1,1,18
22278,2107,31347,1,1,1,1,1,14
22870,1700,31339,1,1,1,1,1,18
23069,2548,32336,1,1,1,1,1,4
24646,2768,31784,1,1,1,1,1,9
23548,2278,32562,1,1,1,1,1,4
24565,2169,32542,1,1,1,1,1,17
23528,2053,34217,1,1,1,1,1,12
24899,2007,34071,1,1,1,1,1,19
24342,1779,33814,1,1,1,1,1,7
23340,2572,33883,1,1,1,1,1,47
22392,2845,33690,1,1,1,1,1,42
23523,1261,31452,1,1,1,1,1,21
24361,586,31650,1,1,1,1,1,35
21842,1588,31293,1,1,1,1,1,21
20609,1756,31717,1,1,1,1,1,14
20452,2078,31468,1,1,1,1,1,7
21238,2950,32224,1,1,1,1,1,8
21221,2866,32397,1,1,1,1,1,3
21730,1938,32090,1,1,1,1,1,13
18877,445,33445,1,1,1,1,1,12
18937,1678,34191,1,1,1,1,1,20
19285,3068,34264,1,1,1,1,1,19
18971,2456,31280,1,1,1,1,1,12
19990,1532,30084,1,1,1,1,1,35
19959,1364,29851,1,1,1,1,1,27
19748,1393,29877,1,1,1,1,1,13
19985,1193,29695,1,1,1,1,1,15
19027,1691,30232,1,1,1,1,1,15
19229,1744,29816,1,1,1,1,1,13
20031,2460,30863,1,1,1,1,1,39
19838,2485,31121,1,1,1,1,1,24
20132,2540,30901,1,1,1,1,1,25
20075,2383,30964,1,1,1,1,1,26
19062,2827,31052,1,1,1,1,1,13
19929,2148,31214,1,1,1,1,1,37
19990,1650,30642,1,1,1,1,1,28
20077,2119,31285,1,1,1,1,1,24
20017,2127,30724,1,1,1,1,1,25
20079,1625,30692,1,1,1,1,1,22
20799,1688,30528,1,1,1,1,1,14
21024,1825,30983,1,1,1,1,1,20
21105,2960,28759,1,1,1,1,1,5
21073,852,30748,1,1,1,1,1,47
22091,1048,30611,1,1,1,1,1,42
21917,1354,31006,1,1,1,1,1,32
21896,1398,31126,1,1,1,1,1,20
21984,1010,30649,1,1,1,1,1,22
22382,859,29957,1,1,1,1,1,13
22303,692,30440,1,1,1,1,1,14
24813,394,30073,1,1,1,1,1,47
23421,3050,28632,1,1,1,1,1,8
23726,1843,29356,1,1,1,1,1,20
23502,1808,29523,1,1,1,1,1,7
22317,144,29498,1,1,1,1,1,15
22421,452,29455,1,1,1,1,1,47
22590,2811,26891,1,1,1,1,1,7
21234,2996,26378,1,1,1,1,1,18
20120,2914,26990,1,1,1,1,1,47
19194,5531,25100,1,1,1,1,1,11
19733,4051,25608,1,1,1,1,1,1
20648,3401,25699,1,1,1,1,1,20
21261,3275,27675,1,1,1,1,1,26
21874,3422,28102,1,1,1,1,1,13
23254,4037,27946,1,1,1,1,1,47
22319,4793,28998,1,1,1,1,1,9
22148,6207,29257,1,1,1,1,1,12
22280,5664,28964,1,1,1,1,1,18
24544,3300,28578,1,1,1,1,1,11
22876,3691,28324,1,1,1,1,1,36
23704,4383,30456,1,1,1,1,1,17
20851,5144,29413,1,1,1,1,1,19
21040,4462,29424,1,1,1,1,1,47
19703,6200,29412,1,1,1,1,1,14
15709,5105,29447,1,1,1,1,1,18
16897,3492,30661,1,1,1,1,1,12
18558,2982,31062,1,1,1,1,1,47
18560,2729,31291,1,1,1,1,1,31
18501,2949,31072,1,1,1,1,1,42
18568,2941,31078,1,1,1,1,1,30
18416,2888,30989,1,1,1,1,1,19
18599,2758,31138,1,1,1,1,1,19
17601,2920,30641,1,1,1,1,1,32
17369,2478,30166,1,1,1,1,1,21
17703,2355,30012,1,1,1,1,1,20
18602,2406,30184,1,1,1,1,1,28
18644,1648,29795,1,1,1,1,1,16
17898,2212,30148,1,1,1,1,1,27
17888,2255,30037,1,1,1,1,1,26
17904,1973,30227,1,1,1,1,1,14
17744,2337,29887,1,1,1,1,1,14
16396,2594,30317,1,1,1,1,1,46
16370,2682,30455,1,1,1,1,1,28
16413,2527,30598,1,1,1,1,1,7
16475,2779,30552,1,1,1,1,1,11
